Record No.,City,Country,Latitude (degrees),Longitude (degrees),Date,Max Temperature (C),Cloudiness (%),Humidity (%),Wind Speed (kph)
77,Dikson,RU,73.51,80.55,1520194891,-22.85499999999999,64,100,4.8441133999999995
78,Mataura,NZ,-46.19,168.86,1520194891,15.270000000000039,88,100,3.3152404
79,Camargo,MX,27.69,-105.17,1520194892,28.745000000000005,0,16,3.3152404
80,Hovd,NO,63.83,10.7,1520191200,-5.0,90,79,3.379614
81,Mandera,ET,3.94,41.86,1520194893,24.545000000000016,44,75,3.7980424
82,Marovoay,MG,-16.11,46.64,1520194893,25.095000000000027,64,92,4.8441133999999995
83,Dunedin,NZ,-45.87,170.5,1520194654,14.495000000000005,92,100,2.8324384
84,Tarime,TZ,-1.35,34.38,1520190000,22.0,20,78,3.7175754
85,Kholtoson,RU,50.3,103.31,1520194894,-22.579999999999984,44,55,1.7059004
86,Finnsnes,NO,69.23,17.98,1520191200,-10.0,0,72,2.1082354
87,Chupa,PE,-15.11,-69.99,1520193600,16.0,40,44,4.9889540000000006
88,Abu Samrah,SY,35.3,37.18,1520194896,11.920000000000016,0,51,4.2808444
89,Port Moresby,PG,-9.47,147.16,1520194815,26.170000000000016,88,100,11.2010064
90,Fortuna,ES,38.18,-1.13,1520191800,15.0,0,87,1.60934
91,Skjervoy,NO,70.03,20.97,1520191200,-6.0,40,66,7.402963999999999
92,Mangrol,IN,25.33,76.51,1520194897,13.270000000000039,8,95,1.8668344
93,Fairbanks,US,64.84,-147.72,1520193480,-9.0,90,92,4.184284
94,Tuktoyaktuk,CA,69.44,-133.03,1520190000,-10.0,90,92,10.782578
95,Hambantota,LK,6.12,81.12,1520194899,26.14500000000004,0,100,6.936255399999999
96,Wamba,CD,2.14,27.99,1520194900,18.795000000000016,56,97,1.5449663999999999
97,Hermanus,ZA,-34.42,19.24,1520194901,16.095000000000027,20,89,3.7175754
98,Vila Franca do Campo,PT,37.72,-25.43,1520191800,15.0,20,67,16.576202000000002
99,Belyy Yar,RU,53.6,91.39,1520191800,-22.99999999999997,0,76,1.60934
100,Chokurdakh,RU,70.62,147.9,1520194902,-34.17999999999998,12,49,2.1887024
101,Port Lincoln,AU,-34.72,135.86,1520194902,15.745000000000005,68,100,6.7753214
102,San Patricio,PY,-26.98,-56.83,1520194903,26.82000000000005,32,75,2.6715044
103,Lorengau,PG,-2.02,147.27,1520194903,28.57000000000005,56,100,5.5683164
104,Vagur,FO,61.47,-6.81,1520194904,4.295000000000016,88,100,15.787625400000001
105,Komsomolskiy,RU,67.55,63.78,1520194904,-16.329999999999984,56,84,3.0738393999999998
106,Te Anau,NZ,-45.41,167.72,1520194905,13.745000000000005,68,93,2.4301034
107,Tadine,NC,-21.55,167.88,1520194905,26.27000000000004,8,99,8.4651284
108,Taoudenni,ML,22.68,-3.98,1520194906,22.245000000000005,0,32,6.1315854
109,Vallenar,CL,-28.58,-70.76,1520194906,22.670000000000016,0,67,1.9473014
110,Saint Anthony,US,43.97,-111.68,1520193360,-3.0,40,79,9.173238
111,Berdigestyakh,RU,62.1,126.7,1520194907,-26.10499999999999,48,66,4.0394434
112,Forestville,CA,48.74,-69.09,1520190000,-1.0,90,86,14.966862
113,Lebu,ET,8.96,38.73,1520193600,15.0,75,82,4.9889540000000006
114,Tuatapere,NZ,-46.13,167.69,1520194908,14.095000000000027,92,100,2.9933724
115,Hithadhoo,MV,-0.6,73.08,1520194909,28.57000000000005,0,100,1.7059004
116,Saskylakh,RU,71.97,114.09,1520194909,-28.204999999999984,68,54,4.6027124
117,Tura,IN,25.52,90.21,1520194909,15.770000000000039,0,80,1.4644994
118,Wawa,NG,9.9,4.41,1520194910,24.32000000000005,0,52,2.2691694
119,Anito,PH,12.45,125.29,1520194911,27.345000000000027,76,98,11.6838084
120,Russell,AR,-33.01,-68.8,1520193600,31.0,40,33,5.793624
121,Barrow,AR,-38.31,-60.23,1520194912,20.245000000000005,48,97,2.9933724
122,Vanimo,PG,-2.67,141.3,1520194912,27.52000000000004,64,100,8.4651284
123,Axim,GH,4.87,-2.24,1520194913,27.920000000000016,12,95,7.419057400000001
124,Rantauprapat,ID,2.1,99.83,1520194913,21.670000000000016,24,94,1.2230984
125,Hobart,AU,-42.88,147.33,1520191800,11.0,75,66,4.9889540000000006
126,Antalaha,MG,-14.9,50.28,1520194914,26.82000000000005,56,82,9.752600399999999
127,Kodiak,US,39.95,-94.76,1520193180,17.0,1,39,13.196587999999998
128,Flinders,AU,-34.58,150.85,1520191800,18.0,75,100,4.184284
129,Puerto Ayora,EC,-0.74,-90.35,1520193600,29.0,20,66,5.793624
130,Nacala,MZ,-14.56,40.69,1520194916,24.64500000000004,92,100,5.5683164
131,Busselton,AU,-33.64,115.35,1520194916,20.345000000000027,0,100,16.7532294
132,Jagatsinghapur,IN,20.27,86.17,1520193600,24.0,0,78,4.184284
133,Longyearbyen,NO,78.22,15.63,1520191200,-9.0,20,61,14.001257999999998
134,Port Elizabeth,US,39.31,-74.98,1520193360,9.0,1,36,12.391918
135,Meadow Lake,CA,54.13,-108.44,1520192340,-6.0,90,85,4.9889540000000006
136,Kaduqli,SD,11.01,29.72,1520194918,19.745000000000005,0,31,4.2808444
137,Victoria Falls,ZW,-17.93,25.84,1520194919,18.19500000000005,32,93,1.6254334
138,Dunajska Streda,SK,47.99,17.61,1520191800,-1.0,75,80,9.173238
139,Termez,AF,37.23,67.28,1520193000,13.0,0,58,6.598293999999999
140,Mar del Plata,AR,-46.43,-67.52,1520194920,20.345000000000027,0,36,5.648783399999999
141,At-Bashi,KG,41.17,75.81,1520194921,-12.604999999999961,0,90,1.9473014
142,Iqaluit,CA,63.75,-68.52,1520190000,-18.99999999999997,40,77,10.782578
143,Punta Alta,AR,-27.46,-55.82,1520193600,30.0,75,61,4.184284
144,Ribeirao Branco,BR,-24.22,-48.77,1520194922,24.94500000000005,56,79,4.8441133999999995
145,Pisco,PE,-13.71,-76.2,1520193600,25.0,0,69,15.771532
146,Hilo,US,19.71,-155.08,1520193360,24.0,75,78,5.793624
147,Bako,NG,9.68,6.4,1520194924,23.94500000000005,0,42,3.9589764
148,The Valley,AI,18.22,-63.06,1520193600,26.0,75,61,9.173238
149,La Ronge,CA,55.1,-105.3,1520190000,-10.0,90,78,8.207633999999999
150,Bezhetsk,RU,57.78,36.69,1520194925,-11.329999999999984,92,80,11.522874400000001
151,Neyshabur,IR,36.21,58.79,1520194925,2.3950000000000387,0,81,2.1887024
152,Constitucion,MX,23.99,-104.67,1520192640,24.0,5,19,2.41401
153,Bitkine,TD,11.98,18.21,1520194926,23.045000000000016,0,26,5.4878494
154,Sorong,ID,-0.86,131.25,1520194927,26.920000000000016,88,100,2.2691694
155,Pacific Grove,US,36.62,-121.92,1520193300,12.0,20,54,6.598293999999999
156,Saint George,GR,39.45,22.34,1520189400,13.0,20,58,5.793624
157,Bongandanga,CD,1.51,21.07,1520194929,23.670000000000016,32,90,1.3840324
158,Narsaq,GL,60.91,-46.05,1520193000,-7.0,76,85,1.60934
159,Forbes,AU,-33.38,148.01,1520194930,17.14500000000004,24,89,2.9933724
160,Toora-Khem,RU,52.47,96.11,1520194930,-25.72999999999999,0,56,1.4644994
161,Hamilton,BM,32.3,-64.78,1520193300,18.0,75,68,18.990212
162,Ferme-Neuve,CA,46.7,-75.45,1520194931,-3.454999999999984,88,64,7.016722400000001
163,Castro,CL,-42.48,-73.76,1520194933,15.57000000000005,32,71,3.4761744
164,Pevek,RU,69.7,170.27,1520194933,-24.05499999999998,56,94,0.8207634
165,Alekseyevka,RU,53.25,50.49,1520191800,-5.0,75,92,12.87472
166,Gazanjyk,TM,39.24,55.52,1520194934,9.420000000000016,0,65,3.4761744
167,Butaritari,KI,3.07,172.79,1520194934,27.795000000000016,88,100,10.9596054
168,Mount Gambier,AU,-37.83,140.78,1520194935,13.44500000000005,80,75,1.8668344
169,Airai,TL,-8.93,125.41,1520194936,19.845000000000027,24,90,0.8207634
170,Lazaro Cardenas,MX,28.39,-105.62,1520192760,27.0,40,21,20.760486
171,Miles City,US,46.41,-105.84,1520193180,-3.0,90,100,7.402963999999999
172,Henties Bay,NA,-22.12,14.28,1520194937,17.52000000000004,100,98,4.2808444
173,Tazmalt,DZ,36.39,4.4,1520190000,13.0,40,87,3.379614
174,Shirokiy,RU,53.87,39.17,1520194938,-9.979999999999961,76,82,6.614387400000001
175,Itarema,BR,-2.92,-39.92,1520194938,27.19500000000005,76,81,7.4995244
176,Sechura,PE,-5.56,-80.82,1520194939,27.44500000000005,0,61,7.9823264
177,Dombarovskiy,RU,50.76,59.54,1520194939,-12.404999999999973,80,88,7.0971894
178,Salou,ES,41.08,1.14,1520191800,10.0,12,93,1.60934
179,Yar-Sale,RU,66.83,70.83,1520194940,-13.604999999999961,76,84,5.1659814
180,Newala,TZ,-10.94,39.28,1520194941,22.39500000000004,64,90,4.4417784
181,Havre-Saint-Pierre,CA,50.23,-63.6,1520190000,2.0,90,69,11.587248
182,Klyuchevskiy,RU,53.53,119.45,1520194942,-27.72999999999999,0,48,2.1887024
183,Pasighat,IN,28.06,95.33,1520194942,13.170000000000016,92,100,1.3840324
184,Zyryanka,RU,65.73,150.89,1520194942,-23.97999999999999,76,74,4.6831794
185,Craig,US,40.52,-107.55,1520194320,-2.0,90,86,9.977908000000001
186,Ilulissat,GL,69.22,-51.1,1520193000,-10.0,92,78,11.587248
187,Ahuimanu,US,21.44,-157.84,1520193360,26.0,75,57,9.977908000000001
188,Clyde River,CA,70.47,-68.59,1520190000,-20.99999999999997,20,83,2.41401
189,Yashkul,RU,46.17,45.34,1520194945,1.44500000000005,92,84,2.1887024
190,Povenets,RU,62.85,34.83,1520194945,-14.004999999999995,36,78,4.2808444
191,Paamiut,GL,61.99,-49.67,1520194946,-3.05499999999995,68,100,9.833067400000001
192,Dutlwe,BW,-23.98,23.93,1520194947,22.64500000000004,0,49,5.9706513999999995
193,Ballitoville,ZA,-29.54,31.21,1520194948,22.670000000000016,36,89,3.4761744
194,Rawson,AR,-43.3,-65.11,1520194948,18.14500000000004,92,33,9.3502654
195,Nome,US,30.04,-94.42,1520193300,24.0,90,64,8.207633999999999
196,Yulara,AU,-25.24,130.99,1520190000,24.0,8,36,4.9889540000000006
197,Linxia,CN,35.6,103.21,1520194950,-3.704999999999984,80,91,0.9816973999999999
198,Kaitangata,NZ,-46.28,169.85,1520194950,15.32000000000005,92,100,3.2347733999999995
199,Cidreira,BR,-30.17,-50.22,1520194950,25.94500000000005,0,75,9.3502654
200,Praya,ID,-8.71,116.27,1520193600,24.0,90,100,1.6254334
201,Geraldton,CA,49.72,-86.95,1520190000,-3.0,20,42,7.402963999999999
202,Bambous Virieux,MU,-20.34,57.76,1520193600,25.0,75,94,4.9889540000000006
203,Kshenskiy,RU,51.85,37.72,1520194952,-8.479999999999961,64,88,7.9018594
204,Mecca,SA,21.43,39.83,1520190000,27.0,40,61,1.60934
205,Hasaki,JP,35.73,140.83,1520193600,14.0,75,93,4.9889540000000006
206,Port-Gentil,GA,-0.72,8.78,1520190000,28.0,40,83,7.402963999999999
207,Shahr-e Babak,IR,30.12,55.12,1520194954,1.6450000000000387,0,54,2.2691694
208,Megion,RU,61.04,76.11,1520191800,-9.0,90,85,9.65604
209,Catia La Mar,VE,10.6,-67.03,1520193600,27.0,75,69,3.379614
210,Esperance,TT,10.24,-61.45,1520191320,22.0,90,100,14.966862
211,Maseru,LS,-29.31,27.48,1520194955,14.245000000000005,44,73,2.1082354
212,Umba,RU,66.69,34.34,1520194956,-13.004999999999995,32,80,1.2230984
213,Broken Hill,AU,-31.97,141.45,1520194956,15.670000000000016,0,55,9.833067400000001
214,San Cristobal,EC,-0.39,-78.55,1520193600,17.0,75,55,9.977908000000001
215,Leeds,GB,53.8,-1.54,1520193000,5.0,90,100,2.41401
216,Broome,GB,52.47,1.45,1520194560,4.0,75,100,4.184284
217,Nouadhibou,MR,20.93,-17.03,1520193600,20.0,0,77,12.391918
218,Cabedelo,BR,-6.97,-34.84,1520193600,28.0,40,69,5.793624
219,Cockburn Town,TC,21.46,-71.14,1520194959,23.64500000000004,80,100,14.5806204
220,Port Blair,IN,11.67,92.75,1520194960,27.27000000000004,0,100,4.2808444
221,Talara,PE,-4.58,-81.27,1520193600,27.0,0,65,8.207633999999999
222,Kedougou,SN,12.56,-12.19,1520194960,30.670000000000016,24,34,4.2808444
223,Zima,RU,53.93,102.05,1520194961,-23.404999999999973,44,67,1.9473014
224,Sao Felix do Xingu,BR,-6.64,-51.99,1520194961,25.670000000000016,48,93,1.7059004
225,Cherskiy,RU,68.75,161.3,1520194962,-26.704999999999984,56,71,3.3957073999999996
226,Tsiroanomandidy,MG,-18.77,46.05,1520194962,19.02000000000004,88,98,2.4301034
227,Namatanai,PG,-3.66,152.44,1520194962,28.745000000000005,68,98,6.2120524
228,Mahebourg,MU,-20.41,57.7,1520193600,25.0,75,94,4.9889540000000006
229,Machiques,VE,10.06,-72.55,1520194963,26.69500000000005,92,56,2.1082354
230,Padang,ID,-0.92,100.36,1520194964,25.77000000000004,76,100,1.3840324
231,Maningrida,AU,-12.05,134.23,1520194964,27.32000000000005,76,92,5.3269154
232,Nhulunbuy,AU,-12.18,136.78,1520191800,27.0,88,94,4.184284
233,Bouna,CI,9.27,-3.0,1520194965,29.795000000000016,0,39,7.338590399999999
234,Dolzhanskaya,RU,46.63,37.8,1520194965,-6.05499999999995,0,100,9.1893314
235,Shingu,JP,33.72,135.99,1520194966,16.045000000000016,92,94,5.4878494
236,Cap Malheureux,MU,-19.98,57.61,1520193600,25.0,75,94,4.9889540000000006
237,Nyurba,RU,63.29,118.35,1520194967,-25.754999999999967,48,65,3.3152404
238,Port Hedland,AU,-20.31,118.58,1520191800,27.0,12,74,4.9889540000000006
239,Santa Maria,BR,-29.69,-53.81,1520190000,32.0,40,46,3.379614
240,Boa Vista,BR,2.82,-60.67,1520194742,26.795000000000016,36,95,4.2808444
241,Wagga Wagga,AU,-35.12,147.37,1520190000,14.0,0,62,4.9889540000000006
242,Adilpur,PK,27.94,69.32,1520190000,21.0,0,73,6.2120524
243,Srednekolymsk,RU,67.46,153.71,1520194972,-25.22999999999999,88,62,3.3152404
244,Genhe,CN,50.78,121.52,1520194972,-25.72999999999999,12,59,4.6027124
245,Hay River,CA,60.82,-115.79,1520190000,-14.0,75,77,4.184284
246,Nikolskoye,RU,59.7,30.79,1520191800,-8.0,0,72,4.82802
247,Santa Fe,AR,-31.62,-60.7,1520194774,30.19500000000005,32,51,3.3152404
248,Mayahi,NE,13.95,7.67,1520194974,24.795000000000016,0,21,7.740925399999999
249,Luanda,AO,-8.83,13.24,1520190000,27.0,20,65,5.793624
250,Gizo,IL,31.8,34.94,1520193000,22.0,0,40,4.9889540000000006
251,Urucara,BR,-2.54,-57.76,1520194975,30.02000000000004,12,71,1.8668344
252,Emerald,AU,-23.53,148.16,1520194976,22.14500000000004,8,92,5.4878494
253,Alofi,NU,-19.06,-169.92,1520190000,27.0,88,88,4.184284
254,Lagoa,PT,37.14,-8.45,1520191800,14.0,40,82,15.771532
255,Northam,GB,51.04,-4.21,1520193000,6.0,20,87,8.207633999999999
256,Toro,CO,4.61,-76.08,1520193600,28.0,40,58,2.41401
257,Riyadh,SA,24.63,46.72,1520193600,20.0,0,37,3.379614
258,Isangel,VU,-19.55,169.27,1520194979,27.02000000000004,0,100,10.1549354
259,Bilma,NE,18.69,12.92,1520194979,21.345000000000027,0,24,6.3729864
260,Adeje,NG,5.68,5.76,1520194980,26.57000000000005,12,69,6.7753214
261,Nongan,CN,44.43,125.17,1520193600,-15.0,0,60,4.82802
262,Sitka,US,37.17,-99.65,1520194980,23.545000000000016,48,48,16.5118284
263,Vao,EE,59.1,26.19,1520194981,-9.204999999999984,36,91,4.2003774
264,Dongsheng,CN,29.72,112.52,1520194981,7.545000000000016,92,92,11.522874400000001
265,Buchanan,LR,5.88,-10.05,1520193600,27.0,75,78,4.184284
266,Tongren,CN,27.72,109.18,1520194982,10.345000000000027,92,87,8.4651284
267,Rajapolah,ID,-7.24,108.18,1520194983,19.77000000000004,92,97,1.5449663999999999
268,Hobyo,SO,5.35,48.53,1520194983,25.045000000000016,48,86,10.7986714
269,Marawi,PH,8.0,124.29,1520194984,17.095000000000027,24,97,1.7059004
270,Balaipungut,ID,1.11,101.31,1520194984,23.44500000000005,56,97,1.2230984
271,Inuvik,CA,68.36,-133.71,1520190000,-10.0,90,78,3.379614
272,Askarovo,RU,53.34,58.51,1520191800,-17.0,64,77,3.21868
273,Cabrobo,BR,-8.51,-39.31,1520194986,26.545000000000016,32,80,1.7863674
274,Bowen,AU,-20.01,148.25,1520193600,25.0,90,94,4.184284
275,East London,ZA,-33.02,27.91,1520194987,22.44500000000005,20,100,1.1426314
276,Rocha,UY,-34.48,-54.34,1520194987,25.420000000000016,12,68,5.1659814
277,Pathein,MM,16.78,94.73,1520194987,20.795000000000016,0,93,5.0050474
278,San Quintin,PH,17.54,120.52,1520194988,19.39500000000004,0,79,4.1199104
279,Talnakh,RU,69.49,88.39,1520194988,-24.154999999999973,56,75,5.0050474
280,Tromso,NO,69.65,18.96,1520193000,-11.0,0,78,1.60934
281,Arraial do Cabo,BR,-22.97,-42.02,1520193600,30.0,20,79,6.598293999999999
282,Kizukuri,JP,40.81,140.39,1520194990,0.49500000000000455,92,100,4.2808444
283,Camacha,PT,33.08,-16.33,1520191800,18.0,40,82,13.196587999999998
284,Vorsma,RU,55.99,43.28,1520191800,-9.0,90,85,6.43736
285,Kruisfontein,ZA,-34.0,24.73,1520194992,17.920000000000016,8,92,6.7753214
286,Krasnyy Chikoy,RU,50.36,108.75,1520194992,-29.30499999999998,0,54,1.6254334
287,Antofagasta,CL,-23.65,-70.4,1520193600,20.0,20,64,10.782578
288,Hammerfest,NO,70.66,23.68,1520191200,-6.0,0,85,4.184284
289,Kuusamo,FI,65.96,29.19,1520193000,-16.0,75,84,0.80467
290,Porgera,PG,-5.46,143.15,1520194994,11.495000000000005,92,97,1.7059004
291,Invermere,CA,50.51,-116.03,1520194994,-4.229999999999961,80,60,1.0621644000000001
292,Champerico,MX,16.38,-93.6,1520193420,32.0,40,31,1.3840324
293,Luganville,VU,-15.51,167.18,1520194995,28.57000000000005,36,100,4.3613114
294,Watsa,CD,3.04,29.53,1520194995,17.39500000000004,20,94,1.9473014
295,Green River,US,41.53,-109.47,1520193240,-3.0,75,58,25.588506
296,Rome,IT,41.89,12.48,1520193000,10.0,40,87,7.402963999999999
297,Coihaique,CL,-45.58,-72.07,1520193600,14.0,75,54,4.9889540000000006
298,Kabanjahe,ID,3.1,98.49,1520194997,19.39500000000004,68,100,1.0621644000000001
299,Newport,GB,51.59,-3.0,1520193000,5.0,92,93,7.402963999999999
300,Svetlaya,RU,46.54,138.33,1520194998,-7.654999999999973,12,100,11.2814734
301,Samana,EC,0.12,-76.97,1520193600,30.0,40,66,2.41401
302,Wanning,AT,48.64,13.53,1520193000,-1.0,44,74,6.598293999999999
303,Jining,CN,35.41,116.58,1520194999,-0.5049999999999955,20,76,8.6260624
304,Sistranda,NO,63.73,8.83,1520193000,-9.0,20,85,7.402963999999999
305,Cabo San Lucas,MX,22.89,-109.91,1520195000,22.595000000000027,44,94,3.3957073999999996
306,Codajas,BR,-3.84,-62.06,1520194741,29.245000000000005,20,86,2.4301034
307,Savannakhet,TH,16.57,104.76,1520195001,22.07000000000005,0,88,1.9473014
308,Ibra,OM,22.69,58.55,1520195002,12.545000000000016,0,82,1.2230984
309,Chapais,CA,49.78,-74.86,1520192880,-6.0,90,85,8.207633999999999
310,Tamandare,BR,-8.28,-70.75,1520195002,27.670000000000016,24,90,3.2347733999999995
311,Santiago del Estero,AR,-27.8,-64.26,1520195003,35.82000000000005,0,38,6.7753214
312,Vostok,RU,46.45,135.83,1520195003,-14.504999999999995,64,70,3.3957073999999996
313,Kharagauli,GE,42.01,43.2,1520193600,10.0,90,93,5.793624
314,Gumdag,TM,39.2,54.59,1520195004,10.020000000000039,8,80,2.9129054
315,Kochubey,RU,44.39,46.54,1520195005,1.0950000000000273,80,96,2.6715044
316,Alto Araguaia,BR,-17.32,-53.22,1520195005,28.94500000000005,24,61,1.9473014
317,Mana,RS,43.52,20.24,1520191800,2.0,75,93,1.5449663999999999
318,Goderich,CA,43.74,-81.71,1520195006,0.27000000000003865,32,52,11.6838084
319,Necochea,AR,-38.55,-58.74,1520195006,20.39500000000004,64,96,6.7753214
320,Copiapo,CL,-27.37,-70.33,1520193600,20.0,40,64,6.598293999999999
321,College,US,64.86,-147.8,1520193480,-9.0,90,92,4.184284
322,Atar,MR,20.52,-13.05,1520195008,22.795000000000016,20,30,5.7292504
323,Birao,CF,10.3,22.78,1520195008,23.52000000000004,0,24,5.8901844
324,Jumla,NP,29.28,82.18,1520195009,-1.954999999999984,92,100,1.5449663999999999
325,Iquique,CL,-20.22,-70.14,1520193600,23.0,0,60,11.587248
326,Mortka,RU,59.33,66.02,1520195010,-11.654999999999973,68,85,3.1543064
327,Victoria,BN,5.28,115.24,1520193600,25.0,75,94,4.184284
328,Willowmore,ZA,-33.3,23.49,1520195011,8.020000000000039,0,89,1.7059004
